timestamp,product,price,rsi,ema9,ema21,atr,atrPct,bbLower,bbUpper,trend,ofi,arbSpread,socialScore,btcPrice,btcRsi,action,confidence,outcome_5m,outcome_15m,outcome_1h
1789922944962,ETH,2635.78000000,76.40,2619.72000000,2603.10000000,12.63000000,0.4800,2551.32000000,2641.20000000,UPTREND,0.0000,-0.0068,0.3800,81231.75,71.94,HOLD,0.5000,-0.0463,0.3119,-0.1358
1789922945114,ZEC,1446.80000000,52.40,1445.67000000,1444.32000000,11.18000000,0.7700,1431.88000000,1455.82000000,SIDEWAYS,0.0000,-0.0460,0.3340,81231.75,71.94,HOLD,0.5000,-0.0484,0.1154,0.6193
1789922945150,XRP,1.40890000,77.10,1.40000000,1.39000000,0.01000000,0.5100,1.36000000,1.41000000,UPTREND,0.0000,-0.0383,0.4440,81231.75,71.94,HOLD,0.5000,-0.0994,0.1916,-0.3052
1789922945181,SOL,110.00000000,71.50,109.33000000,108.84000000,0.51000000,0.4600,107.16000000,110.04000000,UPTREND,0.0000,-0.0279,0.3540,81231.75,71.94,HOLD,0.5000,0.0091,0.2545,0.1273
1789922945210,NEAR,4.19620000,78.10,4.04000000,3.87000000,0.09000000,2.2200,3.38000000,4.26000000,UPTREND,0.0000,0.0463,0.3180,81231.75,71.94,HOLD,0.5000,1.7492,0.8436,-2.0590
1789922945343,AVAX,11.19000000,69.30,11.13000000,10.85000000,0.26000000,2.3200,10.15000000,11.56000000,UPTREND,0.0000,-0.0092,0.3260,81231.75,71.94,SELL,0.8900,1.3852,1.1260,-1.4030
1789922945587,SUI,0.90300000,83.70,0.87000000,0.85000000,0.01000000,1.4700,0.78000000,0.90000000,UPTREND,0.0000,0.0123,0.3260,81231.75,71.94,SELL,0.8700,-0.1107,1.4175,-0.2436
1789922945624,HYPE,93.07000000,77.00,92.41000000,91.82000000,0.44000000,0.4800,89.92000000,93.18000000,UPTREND,0.0000,-0.0191,0.7060,81231.75,71.94,HOLD,0.5000,-0.0107,0.1397,-0.1934
1789922945663,HBAR,0.08741000,59.20,0.09000000,0.09000000,0.00000000,2.2700,0.08000000,0.09000000,UPTREND,0.0000,0.0225,0.3260,81231.75,71.94,HOLD,0.5000,-0.4233,0.2860,-0.5720
1789922945704,VVV,28.04140000,44.50,28.43000000,28.55000000,0.61000000,2.1900,27.69000000,29.86000000,DOWNTREND,0.0000,-0.1850,0.3260,81231.75,71.94,HOLD,0.5000,0.1023,0.1205,0.6758
1789922945746,UNI,8.75200000,55.60,8.73000000,8.70000000,0.09000000,1.0800,8.50000000,8.81000000,UPTREND,0.0000,0.0294,0.3260,81231.75,71.94,HOLD,0.5000,0.7735,0.3496,0.3062
1789922945904,DOGE,0.08741000,83.60,0.09000000,0.09000000,0.00000000,0.5000,0.08000000,0.09000000,UPTREND,0.0000,-0.0012,0.3260,81231.75,71.94,SELL,0.7200,-0.0915,0.3432,
1789922945932,ENA,0.21892000,76.70,0.21000000,0.21000000,0.00000000,1.6800,0.19000000,0.22000000,UPTREND,0.0000,-0.1090,0.3260,81231.75,71.94,HOLD,0.5000,1.2425,1.8957,3.6360
1789922945962,LINK,12.54900000,87.80,12.40000000,12.27000000,0.08000000,0.6300,11.88000000,12.57000000,UPTREND,0.0000,0.0025,0.3260,81231.75,71.94,HOLD,0.5000,0.0239,-0.3586,-0.6455
1789922975684,BTC,81285.56000000,75.20,81069.46000000,80824.93000000,217.27000000,0.2700,80086.90000000,81382.25000000,UPTREND,0.0000,-0.0171,0.6940,81285.57,75.18,HOLD,0.5000,-0.0284,0.0184,0.0484
1789922975713,ETH,2637.60000000,78.20,2620.39000000,2603.42000000,12.63000000,0.4800,2550.84000000,2642.05000000,UPTREND,0.0000,-0.0143,0.5060,81285.57,75.18,HOLD,0.5000,0.0303,0.2282,-0.2362
